"Total de Examen mi-semestre (EE) (Brut)","projet (CCTP) (Brut)","Note enseignant (Brut)","Outil externe Contrôle 1 PLaTon, jeudi 21 et vendredi 22 octobre (Brut)","Outil externe Contrôle 2 PLaTon, jeudi 9 - vendredi 10 décembre (Brut)","Total de Contrôles PLaTon (Brut)","Total de Note de TD (CCE) (Brut)","Total de Examen final (EEF) (Brut)","Total du cours (Brut)"
17,18,20,15.77,16.25,16.01,18.67,17.8,17.77
18.4,20,19,,20,0,12.67,18.2,17.78
17.4,18,15,19.23,20,19.62,16.54,18.4,17.79
19.4,15,15,18.08,19.38,18.73,16.24,18.8,17.81
17.8,20,20,20,20,20,20,16,17.85
18,16,16,20,20,20,17.33,19,17.9
18.8,15,16,18.08,19.06,18.57,16.86,19.2,17.91
19,17,14,18.08,19.06,18.57,15.52,18.6,17.92
19,14.5,16,19.62,18.75,19.18,17.06,19.4,17.97
18.2,19,16,16.54,20,18.27,16.76,17.8,17.98
16,20,20,18.46,20,19.23,19.74,17.6,18
19.2,20,18,20,20,20,18.67,16,18
17.8,16,18,19.62,19.06,19.34,18.45,19,18.02
18.8,19,16,20,19.69,19.84,17.28,17.4,18.05
18.2,20,12,15.77,19.69,17.73,13.91,18.6,18.08
17,19,18,19.23,19.69,19.46,18.49,18.2,18.1
16.2,18,19,20,19.38,19.69,19.23,19,18.13
19.2,15,17,19.62,,19.62,17.87,19.6,18.32
14.6,20,20,20,20,20,20,19.2,18.33
16.6,20,20,18.08,19.69,18.88,19.63,18.2,18.37
18.4,19.5,18,19.23,19.69,19.46,18.49,17.8,18.39
18.6,20,20,18.85,19.06,18.95,19.65,17,18.4
18,20,20,16.54,18.44,17.49,19.16,17.6,18.41
19,20,16,20,19.06,19.53,17.18,17.8,18.45
18.8,20,18,19.62,19.38,19.5,18.5,17.6,18.51
18.8,17,20,18.85,20,19.42,19.81,18.6,18.51
19.4,18,20,20,18.75,19.38,19.79,17.8,18.54
18.2,19,20,20,20,20,20,18,18.55
18.2,20,18,18.08,19.69,18.88,18.29,18.2,18.57
18.2,20,16,20,20,20,17.33,18.6,18.59
17.8,18,20,18.85,20,19.42,19.81,19,18.62
17.6,20,17,19.23,19.06,19.15,17.72,19,18.66
16.4,20,20,20,19.06,19.53,19.84,19,18.68
19.2,15,20,18.85,19.69,19.27,19.76,19.8,18.68
19,19,19,19.62,20,19.81,19.27,18.2,18.72
18.8,18,18,19.62,18.75,19.18,18.39,19.2,18.74
18.2,20,18,16.54,19.38,17.96,17.99,18.8,18.77
18.2,20,19,18.08,19.38,18.73,18.91,18.6,18.83
17.8,19,20,19.62,19.38,19.5,19.83,19.2,18.9
19.2,18,20,20,19.06,19.53,19.84,18.8,18.9
18.8,18,17,20,20,20,18,19.8,18.92
